id,listing_url,season,host_response_time,host_response_rate,host_acceptance_rate,host_verifications,neighbourhood_cleansed,room_type,accommodates,bedrooms,price,minimum_nights,number_of_reviews,review_scores_rating
394,https://www.airbnb.com/rooms/9847685,Spring_2025,within an hour,100%,100%,email/phone/work_email,Praha 3,Entire home/apt,2,1,927,2,89,4.82
395,https://www.airbnb.com/rooms/9847734,Spring_2025,within an hour,100%,100%,email/phone/work_email,Praha 3,Entire home/apt,2,1,858,2,117,4.80
396,https://www.airbnb.com/rooms/9847765,Spring_2025,within an hour,100%,100%,email/phone/work_email,Praha 3,Entire home/apt,2,1,911,2,35,4.86
397,https://www.airbnb.com/rooms/9869722,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,2,1,1625,1,71,4.28
398,https://www.airbnb.com/rooms/11987367,Spring_2025,within a few hours,100%,90%,email/phone/work_email,Praha 1,Entire home/apt,2,1,2584,2,101,4.95
399,https://www.airbnb.com/rooms/12051700,Spring_2025,within a day,100%,0%,email/phone/work_email,Praha 6,Entire home/apt,2,1,2200,2,13,5.00
400,https://www.airbnb.com/rooms/9955791,Spring_2025,within an hour,100%,100%,email/phone,Praha 3,Entire home/apt,2,1,1300,4,183,4.80
401,https://www.airbnb.com/rooms/9961665,Spring_2025,within a day,100%,80%,email/phone,Praha 6,Entire home/apt,5,2,2092,3,89,4.92
402,https://www.airbnb.com/rooms/9963665,Spring_2025,within an hour,100%,100%,email/phone,Praha 2,Entire home/apt,4,1,1406,2,206,4.70
403,https://www.airbnb.com/rooms/9983965,Spring_2025,within an hour,100%,91%,email/phone,Praha 1,Entire home/apt,4,2,6136,3,97,4.78
404,https://www.airbnb.com/rooms/12119442,Spring_2025,within an hour,100%,100%,email/phone,Praha 2,Entire home/apt,2,1,1253,1,294,4.93
405,https://www.airbnb.com/rooms/12124000,Spring_2025,within an hour,100%,100%,email/phone/work_email,Praha 1,Entire home/apt,4,1,1332,1,544,4.79
406,https://www.airbnb.com/rooms/12132083,Spring_2025,within an hour,100%,100%,email/phone,Praha 7,Entire home/apt,4,1,2640,2,138,4.94
407,https://www.airbnb.com/rooms/12133607,Spring_2025,within a few hours,100%,42%,email/phone,Praha 10,Entire home/apt,4,2,2302,2,56,4.73
408,https://www.airbnb.com/rooms/12140334,Spring_2025,within a day,50%,100%,email/phone/work_email,Praha 5,Entire home/apt,4,1,3351,2,155,4.94
409,https://www.airbnb.com/rooms/9990108,Spring_2025,within a few hours,100%,69%,email/phone,Praha 3,Entire home/apt,4,1,1045,2,397,4.82
410,https://www.airbnb.com/rooms/10083386,Spring_2025,within an hour,100%,89%,email/phone,Praha 1,Entire home/apt,2,1,4071,2,218,4.97
411,https://www.airbnb.com/rooms/10119165,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,5,2,4257,3,73,4.99
412,https://www.airbnb.com/rooms/12153202,Spring_2025,within an hour,100%,100%,email/phone,Praha 3,Entire home/apt,4,1,1544,1,186,4.69
